level,order,title,author,publisher
C,29,モグラ原っぱのなかまたち,古田足日 田畑精一・絵,あかね書房
C,30,ココロ屋,梨屋アリエ 菅野由貴子・絵,文研出版
C,31,大きい１年生と小さな２年生,古田足日 中山正美・絵,偕成社
C,32,森おばけ,中川李枝子 山脇百合子・絵,福音館書店
C,33,小さな山神スズナ姫,富安陽子 飯野和好・絵,偕成社
C,34,龍の子太郎,松谷みよ子 田代三善・絵,講談社
C,35,月をみよう,藤井旭,あかね書房
C,36,ケイゾウさんは四月がきらいです。,市川宣子 さとうあや・絵,福音館書店
C,37,ぺちゃんこスタンレー,ブラウン さくまゆみこ・訳,あすなろ書房
C,38,しゃべる詩 あそぶ詩 きこえる詩,はせみつこ・編 飯野和好・絵,冨山房
C,39,手で食べる？,森枝卓士,福音館書店
C,40,先生、しゅくだいわすれました,山本悦子 佐藤真紀子・絵,童心社
C,41,エルマーのぼうけん,ガネット わたなべしげお・訳,福音館書店
C,42,いのちのあさがお,綾野まさる 松本恭子・画,ハート出版
C,43,ながいながいペンギンの話,いぬいとみこ 大友康夫・画,岩波書店
C,44,北極のムーシカミーシカ,いぬいとみこ,理論社
C,45,旅のはじまり 黒ねこサンゴロウ１,竹下文子 鈴木まもる・絵,偕成社
C,46,おばけ道、ただいま工事中！？,草野あきこ 平澤朋子・絵,岩崎書店
C,47,みさき食堂へようこそ,香坂直 北沢平祐・絵,講談社
C,48,ノラネコの研究,伊澤雅子 平出衛・絵,福音館書店
C,49,クレヨン王国の十二か月,福永令三 椎名優・絵,講談社
C,50,ガラスのうま,征矢清 林明子・絵,偕成社
D,1,ごんぎつね,新美南吉 黒井健・絵,偕成社
D,2,狂言えほん ぶす,内田麟太郎 長谷川義史・絵,ポプラ社
D,3,じごくのそうべえ,たじまゆきひこ 桂米朝・上方落語,童心社
D,4,島ひきおに,山下明生 梶山俊夫・絵,偕成社
D,5,グリム童話集 （１）,グリム 矢崎源九郎・訳,偕成社
D,6,月夜のみみずく,ヨーレン ショーエンヘール・絵,偕成社
D,7,アヤカシ薬局閉店セール,伊藤充子 いづのかじ・絵,偕成社
D,8,霧のむこうのふしぎな町,柏葉幸子,講談社
D,9,野尻湖のぞう,井尻正二,福音館書店
D,10,魔法使いのチョコレート・ケーキ,マーヒー 石井桃子・訳,福音館書店
D,11,車のいろは空のいろ 白いぼうし,あまんきみこ,ポプラ社
D,12,大どろぼうホッツェンプロッツ,プロイスラー 中村浩三・訳,偕成社
D,13,宇宙人のいる教室,さとうまきこ,金の星社
D,14,たのしいムーミン一家,ヤンソン 山室静・訳,講談社
D,15,長くつ下のピッピ,リンドグレーン 大塚勇三・訳,岩波書店
D,16,世界でいちばん貧しい大統領のスピーチ,くさばよしみ・編 中川学・絵,汐文社
D,17,ルドルフとイッパイアッテナ,斉藤洋,講談社
D,18,ひとしずくの水,ウィック 林田康一・訳,あすなろ書房
D,19,セロ弾きのゴーシュ,宮沢賢治 名倉靖博・絵,くもん出版
D,20,チョコレート戦争,大石真 北田卓史・絵,理論社
D,21,先生のつうしんぼ,宮川ひろ,偕成社
D,22,百まいのドレス,エスティス 石井桃子・訳,岩波書店
D,23,8本あしのゆかいな仲間 クモ,谷本雄治 つだかつみ・絵,くもん出版
D,24,本のれきし5000年,辻村益朗,福音館書店
D,25,なん者ひなた丸ねことんの術の巻,斉藤洋,あかね書房
D,26,小さなスプーンおばさん,プリョイセン 大塚勇三・訳,学研プラス
D,27,学校ウサギをつかまえろ,岡田淳,偕成社
D,28,いのちのおはなし,日野原重明 村上康成・絵,講談社
D,29,新ちゃんがないた ！,佐藤州男,文研出版
D,30,一つの花,今西祐行 伊勢英子・絵,ポプラ社
D,31,こちらマガーク探偵団,ヒルディック 蕗沢忠枝・訳,あかね書房
D,32,絵くんとことばくん,天野祐吉 大槻あかね・絵,福音館書店
D,33,チョコレートと青い空,堀米薫 小泉るみ子・絵,そうえん社
D,34,しっぽをなくしたイルカ,岩貞るみこ 加藤文雄・写真,講談社
